Product,Amazon_Price,eBay_Price,Walmart_Price,Reviews
Smartphone,128,715,29,"Exceeded my expectations! Worth every penny.;Terrible experience. I wouldn’t buy this again.;Shipping was late, but the product is nice."
Vegetable Oil,905,167,721,Exceeded my expectations! Worth every penny.;Stopped working after a few weeks. Disappointed.;Great value for the price!
Toaster,586,225,878,"Great value for the price!;Amazing product! Will buy again for sure.;Super easy to use, even for beginners."
Air Fryer,667,214,373,"Looks good, but durability is questionable.;Super easy to use, even for beginners.;Terrible experience. I wouldn’t buy this again."
Sunglasses,894,735,416,"Amazing product! Will buy again for sure.;Customer service was very helpful with my issue.;Looks good, but durability is questionable."
Dried Fruits,507,37,561,"Stopped working after a few weeks. Disappointed.;Quality isn't the best, but it does the job.;Works as advertised, but the price is a bit high."
Canned Beans,503,463,552,"The material feels cheap, not what I expected.;Customer service was very helpful with my issue.;I regret buying this. Waste of money."
Electric Saw,266,752,473,"Good quality, but shipping took forever.;Best purchase I've made in a long time!;Looks good, but durability is questionable."
Chocolate Bar,884,87,746,"Good quality, but shipping took forever.;The material feels cheap, not what I expected.;Looks good, but durability is questionable."
Cutlery Set,647,617,680,"Decent product for the price. You get what you pay for.;Works as advertised, but the price is a bit high.;Looks good, but durability is questionable."
Blender,261,114,228,"Stopped working after a few weeks. Disappointed.;Quality isn't the best, but it does the job.;Absolutely love this product! Highly recommend it."
Microwave Oven,70,128,284,"Stopped working after a few weeks. Disappointed.;Works as advertised, but the price is a bit high.;Amazing product! Will buy again for sure."
Pressure Cooker,107,954,996,"Average product, nothing special.;Quality isn't the best, but it does the job.;Shipping was late, but the product is nice."
Energy Drink,436,977,895,"Looks good, but durability is questionable.;Good quality, but shipping took forever.;Great value for the price!"
Running Shoes,299,703,18,"The material feels cheap, not what I expected.;Five stars! Will recommend to my friends.;I regret buying this. Waste of money."
Women's Jeans,156,732,396,"Decent product for the price. You get what you pay for.;Great value for the price!;Average product, nothing special."
Cordless Drill,386,294,211,"Works as advertised, but the price is a bit high.;The material feels cheap, not what I expected.;Average product, nothing special."
Socket Wrench Set,82,737,320,Best purchase I've made in a long time!;Great value for the price!;Stopped working after a few weeks. Disappointed.
Almond Butter,205,771,304,"Good quality, but shipping took forever.;Terrible experience. I wouldn’t buy this again.;Best purchase I've made in a long time!"
Men's T-Shirt,368,404,889,Absolutely love this product! Highly recommend it.;Customer service was very helpful with my issue.;Decent product for the price. You get what you pay for.
Cooking Salt,577,211,420,"Quality isn't the best, but it does the job.;Absolutely love this product! Highly recommend it.;Five stars! Will recommend to my friends."
Headphone Jack Adapter ,1951,1512,1157,Decent product for the price. You get what you pay for.;Five stars! Will recommend to my friends.;Amazing product! Will buy again for sure.
Pacifier ,1244,1266,1865,"Best purchase I've made in a long time!;Average product, nothing special.;Terrible experience. I wouldn’t buy this again."
Women's Jeans ,1338,1839,1500,"Decent product for the price. You get what you pay for.;Super easy to use, even for beginners.;I regret buying this. Waste of money."
Laptop Cooling Pad ,1806,306,1318,"Good quality, but shipping took forever.;Best purchase I've made in a long time!;Shipping was late, but the product is nice."
Sunglasses ,509,1332,1858,"Not bad, but I expected better quality.;Customer service was very helpful with my issue.;Super easy to use, even for beginners."
Foot Cream ,1016,1113,49,"Decent product for the price. You get what you pay for.;Quality isn't the best, but it does the job.;Amazing product! Will buy again for sure."
Mechanical Keyboard ,198,1352,403,"Best purchase I've made in a long time!;Great value for the price!;Quality isn't the best, but it does the job."
Flip Flops ,473,1906,1832,"Shipping was late, but the product is nice.;Best purchase I've made in a long time!;Great value for the price!"
Laptop ,1390,690,67,"Looks good, but durability is questionable.;Great value for the price!;Terrible experience. I wouldn’t buy this again."
Baby Shampoo ,1361,175,888,"Amazing product! Will buy again for sure.;Best purchase I've made in a long time!;Average product, nothing special."
Gaming Headset ,987,1225,981,"Great value for the price!;Not bad, but I expected better quality.;Absolutely love this product! Highly recommend it."
Remote Control Car ,730,1054,645,"Super easy to use, even for beginners.;Exceeded my expectations! Worth every penny.;Best purchase I've made in a long time!"
USB Hub ,1321,1334,743,"Five stars! Will recommend to my friends.;Quality isn't the best, but it does the job.;Shipping was late, but the product is nice."
Non-stick Frying Pan ,1195,997,1743,"Stopped working after a few weeks. Disappointed.;The material feels cheap, not what I expected.;Average product, nothing special."
Night Cream ,1943,560,217,"Good quality, but shipping took forever.;Not bad, but I expected better quality.;Customer service was very helpful with my issue."
Glass Bowls ,1468,669,1060,"Not bad, but I expected better quality.;Decent product for the price. You get what you pay for.;Customer service was very helpful with my issue."
Washing Machine ,853,1111,1848,"Quality isn't the best, but it does the job.;Five stars! Will recommend to my friends.;Super easy to use, even for beginners."
Screen Protector ,1604,341,113,"The material feels cheap, not what I expected.;Five stars! Will recommend to my friends.;Shipping was late, but the product is nice."
Mini Fridge ,1202,270,1084,"Average product, nothing special.;Best purchase I've made in a long time!;Works as advertised, but the price is a bit high."
Decorative Pillows ,1634,1300,942,Exceeded my expectations! Worth every penny.;Best purchase I've made in a long time!;Decent product for the price. You get what you pay for.
Blood Pressure Monitor ,1059,1897,577,"Looks good, but durability is questionable.;Average product, nothing special.;Five stars! Will recommend to my friends."
Foundation ,802,149,941,"Absolutely love this product! Highly recommend it.;Works as advertised, but the price is a bit high.;Amazing product! Will buy again for sure."
Backpack ,852,1134,153,"The material feels cheap, not what I expected.;Best purchase I've made in a long time!;Good quality, but shipping took forever."
Face Wash ,1026,1756,1757,"Quality isn't the best, but it does the job.;Great value for the price!;Best purchase I've made in a long time!"
Laptop Stand ,400,133,284,"Stopped working after a few weeks. Disappointed.;Great value for the price!;Average product, nothing special."
Curtains ,338,749,214,"Super easy to use, even for beginners.;Customer service was very helpful with my issue.;Shipping was late, but the product is nice."
Baby Diapers ,474,1470,1845,Best purchase I've made in a long time!;Customer service was very helpful with my issue.;Five stars! Will recommend to my friends.
Laundry Basket ,1338,561,1655,"Quality isn't the best, but it does the job.;I regret buying this. Waste of money.;Good quality, but shipping took forever."
Mystery Thriller ,239,115,1392,"Absolutely love this product! Highly recommend it.;The material feels cheap, not what I expected.;Works as advertised, but the price is a bit high."
USB-C Cable ,299,370,669,"I regret buying this. Waste of money.;Five stars! Will recommend to my friends.;Good quality, but shipping took forever."
Pedicure Kit ,226,1918,1778,"The material feels cheap, not what I expected.;Best purchase I've made in a long time!;Terrible experience. I wouldn’t buy this again."
Handbag ,411,664,1079,"Shipping was late, but the product is nice.;Stopped working after a few weeks. Disappointed.;Decent product for the price. You get what you pay for."
Boxers ,12,1607,1728,"Super easy to use, even for beginners.;Shipping was late, but the product is nice.;Works as advertised, but the price is a bit high."
Sticky Notes ,1731,1095,1277,"Shipping was late, but the product is nice.;Great value for the price!;Exceeded my expectations! Worth every penny."
Lace Bra ,1825,1701,1329,I regret buying this. Waste of money.;Exceeded my expectations! Worth every penny.;Best purchase I've made in a long time!
Thermal Undershirt ,433,985,1699,"Looks good, but durability is questionable.;Decent product for the price. You get what you pay for.;Super easy to use, even for beginners."
Car Floor Mats ,149,607,67,"Works as advertised, but the price is a bit high.;Stopped working after a few weeks. Disappointed.;Customer service was very helpful with my issue."
Vase Set ,123,292,554,"Not bad, but I expected better quality.;Decent product for the price. You get what you pay for.;Great value for the price!"
Children's Storybook ,1157,708,1760,"Not bad, but I expected better quality.;Five stars! Will recommend to my friends.;The material feels cheap, not what I expected."
Running Shoes ,1750,5,1525,"Works as advertised, but the price is a bit high.;Customer service was very helpful with my issue.;Quality isn't the best, but it does the job."
Pressure Cooker ,1359,744,1083,"The material feels cheap, not what I expected.;Terrible experience. I wouldn’t buy this again.;Shipping was late, but the product is nice."
Running Sneakers ,582,22,843,"Average product, nothing special.;The material feels cheap, not what I expected.;Great value for the price!"
Silk Nightwear ,216,383,1477,"Super easy to use, even for beginners.;Good quality, but shipping took forever.;Five stars! Will recommend to my friends."
Face Mask ,1580,1676,86,"Shipping was late, but the product is nice.;Good quality, but shipping took forever.;Five stars! Will recommend to my friends."
Smartphone ,1056,950,396,"Customer service was very helpful with my issue.;Best purchase I've made in a long time!;Super easy to use, even for beginners."
Face Serum ,141,752,672,"Shipping was late, but the product is nice.;Exceeded my expectations! Worth every penny.;Absolutely love this product! Highly recommend it."
Leather Wallet ,687,1382,725,"Not bad, but I expected better quality.;Amazing product! Will buy again for sure.;Decent product for the price. You get what you pay for."
Pumice Stone ,175,1010,1065,"Works as advertised, but the price is a bit high.;Exceeded my expectations! Worth every penny.;I regret buying this. Waste of money."
Car Seat Covers ,1557,1522,1552,"The material feels cheap, not what I expected.;Customer service was very helpful with my issue.;Five stars! Will recommend to my friends."
Moisturizing Cream ,1751,1808,1986,"Terrible experience. I wouldn’t buy this again.;Exceeded my expectations! Worth every penny.;Average product, nothing special."
Toothpaste ,35,140,1636,Customer service was very helpful with my issue.;Decent product for the price. You get what you pay for.;Five stars! Will recommend to my friends.
Notebooks ,535,980,461,"Works as advertised, but the price is a bit high.;I regret buying this. Waste of money.;Customer service was very helpful with my issue."
Luxury Watch ,1808,923,1415,I regret buying this. Waste of money.;Stopped working after a few weeks. Disappointed.;Absolutely love this product! Highly recommend it.
Lipstick ,1560,602,1702,"Customer service was very helpful with my issue.;Quality isn't the best, but it does the job.;I regret buying this. Waste of money."
Power Bank ,1256,374,1715,"Exceeded my expectations! Worth every penny.;Amazing product! Will buy again for sure.;Not bad, but I expected better quality."
Diamond Ring ,1342,1632,1908,"Average product, nothing special.;I regret buying this. Waste of money.;The material feels cheap, not what I expected."
Dental Floss ,1761,1314,1826,"Average product, nothing special.;Shipping was late, but the product is nice.;Works as advertised, but the price is a bit high."
Dishwasher ,1207,1939,1644,"Super easy to use, even for beginners.;Absolutely love this product! Highly recommend it.;Decent product for the price. You get what you pay for."
Gold Bracelet ,430,154,614,"Good quality, but shipping took forever.;Stopped working after a few weeks. Disappointed.;Great value for the price!"
Tire Inflator ,586,1864,1003,"Terrible experience. I wouldn’t buy this again.;Average product, nothing special.;Stopped working after a few weeks. Disappointed."
Smartwatch ,47,5,1263,"I regret buying this. Waste of money.;Average product, nothing special.;Stopped working after a few weeks. Disappointed."
Shampoo ,1007,119,1609,"Quality isn't the best, but it does the job.;The material feels cheap, not what I expected.;Exceeded my expectations! Worth every penny."
Bluetooth Speaker ,1278,1487,606,"Good quality, but shipping took forever.;Super easy to use, even for beginners.;Decent product for the price. You get what you pay for."
Dollhouse ,1769,1394,1305,"Not bad, but I expected better quality.;Quality isn't the best, but it does the job.;Best purchase I've made in a long time!"
Car Charger ,1194,140,1102,"Stopped working after a few weeks. Disappointed.;Exceeded my expectations! Worth every penny.;Shipping was late, but the product is nice."
Baby Wipes ,1758,151,881,"Shipping was late, but the product is nice.;Not bad, but I expected better quality.;Stopped working after a few weeks. Disappointed."
Brake Pads ,999,1520,854,"Works as advertised, but the price is a bit high.;Terrible experience. I wouldn’t buy this again.;Stopped working after a few weeks. Disappointed."
Noise Cancelling Headphones ,1147,782,537,"The material feels cheap, not what I expected.;Not bad, but I expected better quality.;Super easy to use, even for beginners."
Porcelain Plates ,1561,638,1353,Great value for the price!;Decent product for the price. You get what you pay for.;Terrible experience. I wouldn’t buy this again.
Mouthwash ,754,1761,247,"Looks good, but durability is questionable.;Good quality, but shipping took forever.;Quality isn't the best, but it does the job."
Leather Jacket ,1778,1784,979,"Average product, nothing special.;Best purchase I've made in a long time!;Absolutely love this product! Highly recommend it."
Allergy Relief Tablets ,74,125,1901,"I regret buying this. Waste of money.;Super easy to use, even for beginners.;Customer service was very helpful with my issue."
Pain Reliever ,330,1984,760,"Customer service was very helpful with my issue.;The material feels cheap, not what I expected.;Decent product for the price. You get what you pay for."
Olive Oil ,772,1166,1873,"Super easy to use, even for beginners.;Terrible experience. I wouldn’t buy this again.;Amazing product! Will buy again for sure."
Vitamin D Supplement ,1665,1603,644,"Best purchase I've made in a long time!;Looks good, but durability is questionable.;Five stars! Will recommend to my friends."
Ceramic Mugs ,590,312,1138,"Decent product for the price. You get what you pay for.;Five stars! Will recommend to my friends.;Works as advertised, but the price is a bit high."
Summer Dress ,100,1747,1254,"Decent product for the price. You get what you pay for.;Looks good, but durability is questionable.;Great value for the price!"
Sunscreen ,1012,680,423,"Quality isn't the best, but it does the job.;Customer service was very helpful with my issue.;Looks good, but durability is questionable."
Phone Case ,1902,726,1459,"Super easy to use, even for beginners.;Good quality, but shipping took forever.;Amazing product! Will buy again for sure."
Air Conditioner ,1941,1251,1869,Great value for the price!;Amazing product! Will buy again for sure.;Five stars! Will recommend to my friends.
Perfume ,371,984,947,"Five stars! Will recommend to my friends.;I regret buying this. Waste of money.;Average product, nothing special."
Gold Necklace ,1166,982,1806,I regret buying this. Waste of money.;Best purchase I've made in a long time!;Five stars! Will recommend to my friends.
Orthopedic Insoles ,1697,1165,1619,"Good quality, but shipping took forever.;Absolutely love this product! Highly recommend it.;The material feels cheap, not what I expected."
Bluetooth Keyboard ,469,1146,1244,"Works as advertised, but the price is a bit high.;Terrible experience. I wouldn’t buy this again.;Shipping was late, but the product is nice."
Cotton Briefs ,1144,607,171,"Amazing product! Will buy again for sure.;Not bad, but I expected better quality.;Exceeded my expectations! Worth every penny."
Hair Straightener ,1224,1714,656,Amazing product! Will buy again for sure.;Five stars! Will recommend to my friends.;Best purchase I've made in a long time!
Pet Grooming Kit ,1550,958,1360,"Amazing product! Will buy again for sure.;Super easy to use, even for beginners.;Five stars! Will recommend to my friends."
Analog Watch ,1319,606,306,"Average product, nothing special.;Absolutely love this product! Highly recommend it.;Customer service was very helpful with my issue."
Wireless Charger ,998,1156,285,"Good quality, but shipping took forever.;Great value for the price!;Five stars! Will recommend to my friends."
Fast Charger ,1727,1850,808,"Looks good, but durability is questionable.;Best purchase I've made in a long time!;Five stars! Will recommend to my friends."
Instant Noodles ,1432,1239,941,"Absolutely love this product! Highly recommend it.;I regret buying this. Waste of money.;Shipping was late, but the product is nice."
Hair Conditioner ,1286,1832,1346,"Shipping was late, but the product is nice.;Super easy to use, even for beginners.;Good quality, but shipping took forever."
Hand Sanitizer ,1743,1976,14,"Best purchase I've made in a long time!;Shipping was late, but the product is nice.;Good quality, but shipping took forever."
Wireless Charging Pad ,935,816,661,"Looks good, but durability is questionable.;Stopped working after a few weeks. Disappointed.;Good quality, but shipping took forever."
Fuel Filter ,424,914,220,"Works as advertised, but the price is a bit high.;Shipping was late, but the product is nice.;Absolutely love this product! Highly recommend it."
Cutlery Set ,546,1876,1785,"Good quality, but shipping took forever.;Absolutely love this product! Highly recommend it.;Stopped working after a few weeks. Disappointed."
Bookshelf ,908,837,1948,"Absolutely love this product! Highly recommend it.;Good quality, but shipping took forever.;Quality isn't the best, but it does the job."
Brown Rice ,1589,1559,1151,"Great value for the price!;The material feels cheap, not what I expected.;Average product, nothing special."
Wall Art ,404,1201,566,"Great value for the price!;Decent product for the price. You get what you pay for.;The material feels cheap, not what I expected."
Spark Plugs ,379,1975,1539,"Average product, nothing special.;The material feels cheap, not what I expected.;Looks good, but durability is questionable."
Microwave Oven ,415,1909,1579,"Shipping was late, but the product is nice.;Stopped working after a few weeks. Disappointed.;Best purchase I've made in a long time!"
Self-help Guide ,1030,1994,459,"Customer service was very helpful with my issue.;The material feels cheap, not what I expected.;Not bad, but I expected better quality."
Fresh Bread ,1457,604,145,"The material feels cheap, not what I expected.;Best purchase I've made in a long time!;Looks good, but durability is questionable."
Motorcycle Helmet ,378,1821,58,"Looks good, but durability is questionable.;Decent product for the price. You get what you pay for.;Amazing product! Will buy again for sure."
Green Tea ,1889,1048,233,Exceeded my expectations! Worth every penny.;I regret buying this. Waste of money.;Five stars! Will recommend to my friends.
Gaming Console ,884,1864,836,Stopped working after a few weeks. Disappointed.;Best purchase I've made in a long time!;Five stars! Will recommend to my friends.
Hiking Boots ,1683,127,226,Customer service was very helpful with my issue.;I regret buying this. Waste of money.;Five stars! Will recommend to my friends.
Silver Earrings ,544,873,1342,"I regret buying this. Waste of money.;Average product, nothing special.;Customer service was very helpful with my issue."
Tablet ,1203,625,1075,"Average product, nothing special.;Absolutely love this product! Highly recommend it.;Great value for the price!"
LEGO Set ,1886,781,235,Customer service was very helpful with my issue.;Amazing product! Will buy again for sure.;Decent product for the price. You get what you pay for.
Electric Kettle ,1560,73,1730,"Looks good, but durability is questionable.;The material feels cheap, not what I expected.;Not bad, but I expected better quality."
Ethernet Cable ,478,722,42,"Works as advertised, but the price is a bit high.;Great value for the price!;Super easy to use, even for beginners."
Wireless Headphones ,1142,1457,776,Amazing product! Will buy again for sure.;Absolutely love this product! Highly recommend it.;Customer service was very helpful with my issue.
Bird Feeder ,919,452,959,"Super easy to use, even for beginners.;Good quality, but shipping took forever.;Decent product for the price. You get what you pay for."
Storage Boxes ,1035,1269,1743,"Exceeded my expectations! Worth every penny.;Works as advertised, but the price is a bit high.;Terrible experience. I wouldn’t buy this again."
Car Battery ,331,153,1148,"I regret buying this. Waste of money.;Average product, nothing special.;Amazing product! Will buy again for sure."
Side-by-Side Refrigerator ,485,1407,1964,"Exceeded my expectations! Worth every penny.;Quality isn't the best, but it does the job.;Great value for the price!"
Body Lotion ,1831,180,1876,"Terrible experience. I wouldn’t buy this again.;Looks good, but durability is questionable.;Stopped working after a few weeks. Disappointed."
Bluetooth Adapter ,1234,289,836,"Absolutely love this product! Highly recommend it.;Looks good, but durability is questionable.;Shipping was late, but the product is nice."
Men's T-shirt ,1982,1559,1915,"Terrible experience. I wouldn’t buy this again.;The material feels cheap, not what I expected.;Quality isn't the best, but it does the job."
Formal Shoes ,1872,366,966,"Great value for the price!;Best purchase I've made in a long time!;Looks good, but durability is questionable."
Gaming Mouse ,1418,510,413,"Best purchase I've made in a long time!;Works as advertised, but the price is a bit high.;Good quality, but shipping took forever."
Cup Soup ,1324,544,1254,"Good quality, but shipping took forever.;Exceeded my expectations! Worth every penny.;Great value for the price!"
Hair Oil ,1464,1040,377,"Shipping was late, but the product is nice.;I regret buying this. Waste of money.;Customer service was very helpful with my issue."
First Aid Kit ,1526,1262,1818,"Average product, nothing special.;Works as advertised, but the price is a bit high.;I regret buying this. Waste of money."
Double Door Refrigerator ,709,811,596,"I regret buying this. Waste of money.;Customer service was very helpful with my issue.;Not bad, but I expected better quality."
Energy Drink ,1604,1030,1167,"Good quality, but shipping took forever.;Works as advertised, but the price is a bit high.;Shipping was late, but the product is nice."
Ergonomic Office Chair ,50,490,741,"Quality isn't the best, but it does the job.;Amazing product! Will buy again for sure.;Absolutely love this product! Highly recommend it."
External Hard Drive ,1649,1412,1580,Decent product for the price. You get what you pay for.;I regret buying this. Waste of money.;Five stars! Will recommend to my friends.
Satin Robe ,1040,1958,1548,"Super easy to use, even for beginners.;Great value for the price!;Not bad, but I expected better quality."
Coffee Beans ,1132,525,1901,Best purchase I've made in a long time!;I regret buying this. Waste of money.;Amazing product! Will buy again for sure.
Vacuum Cleaner ,1407,400,353,"Works as advertised, but the price is a bit high.;Good quality, but shipping took forever.;Exceeded my expectations! Worth every penny."
Wooden Dining Table ,441,1215,618,I regret buying this. Waste of money.;Great value for the price!;Absolutely love this product! Highly recommend it.
Sofa Set ,1177,213,1622,"Amazing product! Will buy again for sure.;Absolutely love this product! Highly recommend it.;Good quality, but shipping took forever."
Science Fiction Novel ,441,704,1783,"Not bad, but I expected better quality.;Five stars! Will recommend to my friends.;Best purchase I've made in a long time!"
Dog Food ,1995,1044,769,"Customer service was very helpful with my issue.;The material feels cheap, not what I expected.;Good quality, but shipping took forever."
Cough Syrup ,227,1609,1615,"The material feels cheap, not what I expected.;Stopped working after a few weeks. Disappointed.;Works as advertised, but the price is a bit high."
Car Cover ,407,1200,451,"Exceeded my expectations! Worth every penny.;Works as advertised, but the price is a bit high.;Best purchase I've made in a long time!"
Electric Toothbrush ,614,165,1648,I regret buying this. Waste of money.;Exceeded my expectations! Worth every penny.;Terrible experience. I wouldn’t buy this again.
Ballpoint Pens ,1896,1538,1963,Amazing product! Will buy again for sure.;I regret buying this. Waste of money.;Best purchase I've made in a long time!
Cat Litter ,919,1523,1330,"Shipping was late, but the product is nice.;Not bad, but I expected better quality.;The material feels cheap, not what I expected."
Microwave Popcorn ,700,1341,659,"Absolutely love this product! Highly recommend it.;Exceeded my expectations! Worth every penny.;Looks good, but durability is questionable."
Moisturizer,48,686,847,Five stars! Will recommend to my friends.;Great value for the price!;Stopped working after a few weeks. Disappointed.
Cool Drink,1416,254,1154,"Best purchase I've made in a long time!;Looks good, but durability is questionable.;Amazing product! Will buy again for sure."
Serum,202,780,220,"Amazing product! Will buy again for sure.;Average product, nothing special.;Stopped working after a few weeks. Disappointed."
Toner,314,1920,673,"Super easy to use, even for beginners.;Great value for the price!;Average product, nothing special."
Fans,1800,120,196,Decent product for the price. You get what you pay for.;Terrible experience. I wouldn’t buy this again.;I regret buying this. Waste of money.
Cooler,1535,1445,1049,"Terrible experience. I wouldn’t buy this again.;I regret buying this. Waste of money.;Looks good, but durability is questionable."
Mixer Grinder,874,1095,1070,"Exceeded my expectations! Worth every penny.;Absolutely love this product! Highly recommend it.;Quality isn't the best, but it does the job."
Water Purifier,1225,319,1167,"Great value for the price!;Average product, nothing special.;Quality isn't the best, but it does the job."
Geyser,1986,806,1422,"Great value for the price!;Customer service was very helpful with my issue.;Shipping was late, but the product is nice."
Battery,629,102,404,"Super easy to use, even for beginners.;The material feels cheap, not what I expected.;Quality isn't the best, but it does the job."
Batteries,884,833,1939,"Good quality, but shipping took forever.;Stopped working after a few weeks. Disappointed.;Great value for the price!"
Inverter,606,1118,492,"Stopped working after a few weeks. Disappointed.;Super easy to use, even for beginners.;Average product, nothing special."
Irons,712,859,418,"Works as advertised, but the price is a bit high.;Best purchase I've made in a long time!;Exceeded my expectations! Worth every penny."
Kettle,530,283,250,"Good quality, but shipping took forever.;I regret buying this. Waste of money.;Super easy to use, even for beginners."
Stabilizer,1230,728,537,"Good quality, but shipping took forever.;Stopped working after a few weeks. Disappointed.;Best purchase I've made in a long time!"
Sandwich Maker,466,416,1324,"Decent product for the price. You get what you pay for.;Average product, nothing special.;Stopped working after a few weeks. Disappointed."
Air Purifier,214,386,844,"Not bad, but I expected better quality.;I regret buying this. Waste of money.;Works as advertised, but the price is a bit high."
Rackets,1289,1692,95,"Not bad, but I expected better quality.;Five stars! Will recommend to my friends.;Exceeded my expectations! Worth every penny."
Mosquito Racket,1813,1698,1554,"Not bad, but I expected better quality.;Shipping was late, but the product is nice.;Terrible experience. I wouldn’t buy this again."
Racket,245,1068,1220,"Not bad, but I expected better quality.;Good quality, but shipping took forever.;Best purchase I've made in a long time!"
Bedsheet,1081,214,1477,"Good quality, but shipping took forever.;Absolutely love this product! Highly recommend it.;Shipping was late, but the product is nice."
Bedsheets,953,1791,1696,Five stars! Will recommend to my friends.;Exceeded my expectations! Worth every penny.;Decent product for the price. You get what you pay for.
Home Decors,396,1288,414,"Works as advertised, but the price is a bit high.;Quality isn't the best, but it does the job.;Best purchase I've made in a long time!"
